week,inc
202016,14134
202017,10406
202018,10790
202019,6456
202020,7612
202021,3442
202022,8447
202023,5986
202024,5811
202025,3307
202026,1838
202027,1492
202028,1240
202029,1232
202030,1609
202031,1501
202032,1141
202033,877
202034,1039
202035,1825
202036,1398
202037,3750
202038,7384
202039,6372
202040,7811
202041,14572
202042,16714
202043,17740
202044,15332
202045,15843
202046,11981
202047,12569
202048,12326
202049,13717
202050,11463
202051,11065
202052,4406
202053,4274
202101,7341
202102,6932
202103,8949
202104,14368
202105,12733
202106,15870
202107,17178
202108,12600
202109,13950
202110,16387
202111,17880
202112,18841
202113,13795
202114,12666
202115,13905
202116,10406
202117,9758
202118,11270
202119,8685
202120,12350
202121,5441
202122,5375
202123,4681
202124,4959
202125,6569
202126,6823
202127,6247
202128,4731
202129,6150
202130,5848
202131,4531
202132,3809
202133,2819
202134,3465
202135,6647
202136,8333
202137,9365
202138,9903
202139,13245
202140,17593
202141,19167
202142,17871
202143,15588
202144,11879
202145,12593
202146,18393
202147,20407
202148,20076
202149,17907
202150,16086
202151,17126
202152,16965
202201,21648
202202,17075
202203,17899
202204,17250
202205,15748
202206,14845
202207,16147
202208,12005
202209,14420
202210,16985
202211,17992
202212,28896
202213,33905
202214,33042
202215,32182
202216,19936
202217,16698
202218,14892
202219,10624
202220,8960
202221,7357
202222,10448
202223,9235
202224,11823
202225,10966
202226,12120
202227,10102
202228,7526
202229,9332
202230,9686
202231,8645
202232,5043
202233,3364
202234,5366
202235,6149
202236,6995
202237,7394
202238,10195
202239,14083
202240,14829
202241,19476
202242,20389
202243,19652
202244,14876
202245,15133
202246,20442
202247,25760
202248,31092
202249,46812
202250,68901
202251,70334
202252,46568
202301,36173
202302,21151
202303,16292
202304,15765
202305,16258
202306,17595
202307,16616
202308,17073
202309,15066
202310,15888
202311,15213
202312,14483
202313,15362
202314,13569
202315,11106
202316,13728
202317,11977
202318,9263
202319,9348
202320,6748
202321,9688
202322,7843
202323,7998
202324,6581
202325,6794
202326,5407
202327,4827
202328,5364
202329,6036
202330,6296
202331,6391
202332,4436
202333,3895
202334,5869
202335,8891
202336,10408
202337,15256
202338,18462
202339,21674
202340,23831
202341,27071
202342,25551
202343,25664
202344,19177
202345,22667
202346,24696
202347,28299
202348,34536
202349,38744
202350,40511
202351,37388
202352,26096
202401,30329
202402,39604
202403,47098
202404,53507
202405,53353
202406,47018
202407,31859
202408,22914
202409,21628
202410,17661
202411,17420
202412,14853
202413,16383
202414,11234
202415,10481
202416,11228
202417,12733
202418,10702
202419,7185
202420,12353
202421,11180
202422,13282
202423,13876
202424,12975
202425,14206
202426,14481
202427,13435
202428,12819
202429,9683
202430,7910
202431,6375
202432,6065
202433,3149
202434,6806
202435,7110
202436,10074
202437,15338
202438,18553
202439,20040
202440,19668
202441,23014
202442,20287
202443,19843
202444,16364
202445,19808
202446,22289
202447,29906
202448,30542
202449,33531
202450,42667
202451,57491
202452,35051
202501,32034
202502,52653
202503,48403
202504,54933
202505,51898
202506,42100
202507,38184
202508,32121
202509,23431
202510,21594
202511,17116
202512,16475
202513,12973
202514,12513
202515,12238
202516,8950
202517,7721
202518,6814
202519,7107
202520,8765
202521,9680
202522,7331
202523,8769
202524,7446
202525,7730
202526,6817
202527,5664
202528,5574
202529,4706
202530,5420
202531,4947
202532,4948
202533,3629
202534,3337
202535,5710
202536,8211
202537,12294
202538,14016
202539,16037
202540,18608
202541,19730
202542,19531
202543,16376
202544,13578
202545,14406
202546,12509
202547,17898
202548,21326
202549,25688
202550,31531
202551,33583
202552,23031
202601,22867
202602,26686
202603,26735
202604,28390
202605,28075
202606,26953
202607,20919
202608,19316
202609,12935
202610,11615
202611,11429
202612,11534
202613,13340
202614,11332
202615,8449
202616,8726
202617,7211
